Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Max Depth Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2
min_max_alpha_beta_pruning max_depth=3 vs min_max_alpha_beta_pruning max_depth=3,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,3,CHECKMATE,Black,130725.12ms,1213.28ms,1899.17ms,42,42,182614,285700,19283,19845
min_max_alpha_beta_pruning max_depth=3 vs min_max_alpha_beta_pruning max_depth=4,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,4,CHECKMATE,Black,1309721.65ms,883.14ms,11957.22ms,102,102,250043,4011648,28829,376326
min_max_alpha_beta_pruning max_depth=4 vs min_max_alpha_beta_pruning max_depth=3,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,3,FIVEFOLD_REPETITION,,1105320.51ms,19000.20ms,1496.37ms,54,53,4663763,312121,242417,28087
min_max_alpha_beta_pruning max_depth=4 vs min_max_alpha_beta_pruning max_depth=4,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,4,CHECKMATE,White,3404402.08ms,14242.34ms,6946.11ms,161,160,6109260,3936330,676701,119565
