Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Number CutOff Agent 1,Max Depth Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated Hr Agent 1,Pruning Hr carried out Agent 1
min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning max_depth=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,CHECKMATE,Black,97399.52ms,637.39ms,3258.59ms,25,25,2451,316640,298,16491,16315,12912
min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning max_depth=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,FIVEFOLD_REPETITION,,277061.22ms,1685.54ms,1672.67ms,83,82,28552,345541,3596,42314,150637,110950
min_max_alpha_beta_pruning_hr_cut max_depth=5 k=5 vs min_max_alpha_beta_pruning max_depth=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,5,3,CHECKMATE,Black,303703.65ms,5956.40ms,1636.16ms,40,40,40779,248668,7339,16066,262496,200669
min_max_alpha_beta_pruning_hr_cut max_depth=6 k=3 vs min_max_alpha_beta_pruning max_depth=2,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,3,2,CHECKMATE,Black,209772.21ms,4529.93ms,131.63ms,45,45,18917,25216,3402,3,208388,184358
