Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Number CutOff Hr Agent 1,Max Depth Agent 2,Number CutOff Hr Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated Hr Agent 1,States evaluated Hr Agent 2,Pruning Hr carried out Agent 1,Pruning Hr carried out Agent 2
min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,5,INSUFFICIENT_MATERIAL,,501344.70ms,1046.43ms,445.57ms,336,336,27452,30110,4406,3728,205456,90636,162018,52177
min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,4,5,FIVEFOLD_REPETITION,,431826.08ms,670.20ms,1647.75ms,187,186,15447,41884,2503,5677,87042,216164,63793,157592
min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,5,CHECKMATE,White,366489.69ms,3013.14ms,772.92ms,97,96,31351,8106,3670,1003,203615,52838,161809,41694
min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,4,5,FIVEFOLD_REPETITION,,701824.91ms,1408.16ms,1327.77ms,257,256,73502,61096,10019,7618,284831,272582,183048,191290
min_max_alpha_beta_pruning_hr_cut max_depth=5 k=3 vs min_max_alpha_beta_pruning_hr_cut max_depth=5 k=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,3,5,3,FIVEFOLD_REPETITION,,372908.43ms,1296.12ms,2051.68ms,112,111,15966,16889,3008,3013,103984,162239,83424,140882
min_max_alpha_beta_pruning_hr_cut max_depth=6 k=3 vs min_max_alpha_beta_pruning_hr_cut max_depth=6 k=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,3,6,3,FIVEFOLD_REPETITION,,817093.23ms,2819.90ms,3613.80ms,127,127,44091,43411,8277,7914,336935,430877,280603,375731
min_max_alpha_beta_pruning_hr_cut max_depth=10 k=3 vs min_max_alpha_beta_pruning_hr_cut max_depth=10 k=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,10,3,10,3,CHECKMATE,White,6279055.89ms,48008.13ms,54927.21ms,61,61,345956,301017,89961,73561,3824257,4416521,3349983,4008184
