Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Number CutOff Agent 1,Max Depth Agent 2,Number CutOff Agent 2,Number of l Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated Hr Agent 1,States evaluated H0 Agent 2,Pruning Hr carried out Agent 1,Pruning H0 carried out Agent 2,States evaluated Hl Agent 2,Pruning Hl carried out Agent 2
min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,5,3,CHECKMATE,Black,32426.24ms,764.63ms,2183.12ms,11,11,1162,955,149,176,8048,10921,6419,9331,131685,7508
min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,4,5,3,FIVEFOLD_REPETITION,,118036.28ms,486.43ms,1217.17ms,70,69,7162,26542,885,2891,33573,129417,23738,93761,244104,21194
min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,5,3,CHECKMATE,Black,224519.78ms,1850.09ms,1225.48ms,73,73,22505,6279,2527,888,148302,50830,118509,41441,340313,24827
min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,4,5,3,CHECKMATE,Black,923112.32ms,1569.77ms,2375.08ms,234,234,71186,73242,8704,9140,367977,433025,271103,330391,679103,82953
min_max_alpha_beta_pruning_hr_cut max_depth=5 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=5 k=3 l=2,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,3,5,3,2,CHECKMATE,Black,50952.22ms,2285.72ms,395.81ms,19,19,3513,3058,629,645,42301,40462,37816,36284,14681,435
min_max_alpha_beta_pruning_hr_cut max_depth=6 k=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=6 k=3 l=2,MinMax Alpha Beta Pruning Hr CutOff,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,3,6,3,2,CHECKMATE,Black,149754.71ms,4803.70ms,742.73ms,27,27,11945,11398,2172,2299,136109,128598,120855,113539,19209,602
