Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Number CutOff Agent 1,Max Depth Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated H0 Agent 1,Pruning H0 carried out Agent 1
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning max_depth=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,CHECKMATE,Black,123630.51ms,122.66ms,1126.11ms,99,99,8323,314978,1314,38212,63917,50491
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning max_depth=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,CHECKMATE,White,63382.18ms,365.37ms,1667.33ms,32,31,10052,196855,1424,22366,87047,71937
min_max_alpha_beta_pruning_h0_cut max_depth=5 k=5 vs min_max_alpha_beta_pruning max_depth=3,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,5,3,CHECKMATE,Black,245204.27ms,751.39ms,2517.96ms,75,75,37074,425620,8686,44138,348508,280502
min_max_alpha_beta_pruning_h0_cut max_depth=6 k=3 vs min_max_alpha_beta_pruning max_depth=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,3,2,CHECKMATE,White,28181.52ms,585.98ms,140.21ms,39,38,11053,24564,2458,10,146088,130611
min_max_alpha_beta_pruning_h0_cut max_depth=10 k=3 vs min_max_alpha_beta_pruning max_depth=2,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,10,3,2,CHECKMATE,Black,643101.30ms,5544.33ms,47.84ms,115,115,336855,25776,87381,0,3659395,3171787
