Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Number CutOff Agent 1,Max Depth Agent 2,Number CutOff Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated H0 Agent 1,States evaluated Hr Agent 2,Pruning H0 carried out Agent 1,Pruning Hr carried out Agent 2
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5 ,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,3,5,CHECKMATE,White,48805.98ms,122.16ms,936.08ms,47,46,4236,4472,606,538,29960,40761,23505,34374
min_max_alpha_beta_pruning_h0_cut max_depth=3 k=5 vs min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5 ,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,4,5,FIVEFOLD_REPETITION,,38457.12ms,70.35ms,2676.51ms,14,14,967,6314,229,500,7195,35108,5315,27465
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_hr_cut max_depth=3 k=5 ,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,3,5,FIVEFOLD_REPETITION,,246826.98ms,641.54ms,640.63ms,193,192,52457,19540,7088,2206,365303,122470,288268,96011
min_max_alpha_beta_pruning_h0_cut max_depth=4 k=5 vs min_max_alpha_beta_pruning_hr_cut max_depth=4 k=5 ,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,4,5,4,5,CHECKMATE,Black,54689.18ms,305.16ms,2573.22ms,19,19,4840,7313,828,841,43328,49655,35397,39736
min_max_alpha_beta_pruning_h0_cut max_depth=5 k=3 vs min_max_alpha_beta_pruning_hr_cut max_depth=5 k=3 ,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,5,3,5,3,FIVEFOLD_REPETITION,,214169.30ms,206.28ms,1140.61ms,159,159,18630,24720,4146,4257,139224,192809,113532,161345
min_max_alpha_beta_pruning_h0_cut max_depth=6 k=3 vs min_max_alpha_beta_pruning_hr_cut max_depth=6 k=3 ,MinMax Alpha Beta Pruning H0 CutOff,MinMax Alpha Beta Pruning Hr CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,6,3,6,3,FIVEFOLD_REPETITION,,41715.57ms,317.00ms,3475.33ms,11,11,2372,3760,501,633,27416,36777,24104,32127
