Title,Algorithm Agent 1,Algorithm Agent 2,Heuristic Agent 1,Heuristic Agent 2,Max Depth Agent 1,Max Depth Agent 2,Number CutOff Agent 2,Number of l Agent 2,OUTCOME,Winner,Total Time,AVG Time Agent 1,AVG Time Agent 2,Number of Moves Agent 1,Number of Moves Agent 2,States Evaluated Agent 1,States Evaluated Agent 2,Pruning carried out Agent 1,Pruning carried out Agent 2,States evaluated H0 Agent 2,Pruning H0 carried out Agent 2,States evaluated Hl Agent 2,Pruning Hl carried out Agent 2
min_max_alpha_beta_pruning max_depth=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=3 k=5 l=3,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,3,5,3,CHECKMATE,Black,223899.14ms,294.23ms,1427.97ms,130,130,139231,5029,20052,962,56984,48649,663047,29655
min_max_alpha_beta_pruning max_depth=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=4 k=5 l=3,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,4,5,3,CHECKMATE,Black,81126.13ms,1005.82ms,1380.19ms,34,34,126194,9486,15365,1439,58300,43986,170098,12926
min_max_alpha_beta_pruning max_depth=3 vs min_max_alpha_beta_pruning_hl_cut max_depth=5 k=5 l=3,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,3,5,5,3,CHECKMATE,Black,190409.61ms,1511.15ms,3132.96ms,41,41,203683,27585,25503,5551,325827,278057,409485,22957
min_max_alpha_beta_pruning max_depth=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=6 k=3 l=3,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,2,6,3,3,CHECKMATE,White,89924.82ms,189.77ms,1998.84ms,42,41,35963,14711,0,2827,207613,188212,201107,23258
min_max_alpha_beta_pruning max_depth=2 vs min_max_alpha_beta_pruning_hl_cut max_depth=10 k=3 l=2,MinMax Alpha Beta Pruning,MinMax Alpha Beta Pruning Hl CutOff,HardBoardEvaluationChessGame,HardBoardEvaluationChessGame,2,10,3,2,CHECKMATE,White,873085.01ms,77.79ms,11562.26ms,76,75,31806,523343,12,143328,5603600,4836578,23977,619
